TID,GID,gene_symbol
ENST00000614992,ENSG00000276849,TRBC2
ENST00000620987,ENSG00000276849,TRBC2
ENST00000613720,ENSG00000276849,TRBC2
ENST00000622287,ENSG00000282657,IGHM
ENST00000622547,ENSG00000273539,IGHV3-73
ENST00000628405,ENSG00000281434,NDUFA10
ENST00000630647,ENSG00000281434,NDUFA10
ENST00000627730,ENSG00000281434,NDUFA10
ENST00000627681,ENSG00000281434,NDUFA10
ENST00000630225,ENSG00000281434,NDUFA10
ENST00000626095,ENSG00000281434,NDUFA10
ENST00000626554,ENSG00000281434,NDUFA10
ENST00000627686,ENSG00000281434,NDUFA10
ENST00000627439,ENSG00000281434,NDUFA10
ENST00000626224,ENSG00000281434,NDUFA10
ENST00000630302,ENSG00000281434,NDUFA10
ENST00000626935,ENSG00000281434,NDUFA10
ENST00000628669,ENSG00000281434,NDUFA10
ENST00000628011,ENSG00000281434,NDUFA10
ENST00000627865,ENSG00000281835,AC004824.2
ENST00000629012,ENSG00000281661,ZNF501
ENST00000627481,ENSG00000280674,ZDHHC3
ENST00000627323,ENSG00000280674,ZDHHC3
ENST00000628490,ENSG00000280674,ZDHHC3
ENST00000630389,ENSG00000280674,ZDHHC3
ENST00000628351,ENSG00000280674,ZDHHC3
ENST00000626624,ENSG00000280674,ZDHHC3
ENST00000629974,ENSG00000280674,ZDHHC3
ENST00000630967,ENSG00000280674,ZDHHC3
ENST00000631250,ENSG00000280674,ZDHHC3
ENST00000628075,ENSG00000280674,ZDHHC3
ENST00000627147,ENSG00000280674,ZDHHC3
ENST00000626676,ENSG00000281178,MLXIP
ENST00000625912,ENSG00000281178,MLXIP
ENST00000625595,ENSG00000281178,MLXIP
ENST00000628565,ENSG00000281178,MLXIP
ENST00000628109,ENSG00000281178,MLXIP
ENST00000627366,ENSG00000281178,MLXIP
ENST00000626863,ENSG00000281178,MLXIP
ENST00000630932,ENSG00000281178,MLXIP
ENST00000625214,ENSG00000281178,MLXIP
ENST00000628671,ENSG00000281840,AC156455.2
ENST00000634064,ENSG00000282566,PRAMEF25
ENST00000633191,ENSG00000281840,AC156455.2
ENST00000632181,ENSG00000281840,AC156455.2
ENST00000627769,ENSG00000281840,AC156455.2
ENST00000627167,ENSG00000281840,AC156455.2
ENST00000626348,ENSG00000281840,AC156455.2
ENST00000625225,ENSG00000281702,HMBS
ENST00000628808,ENSG00000281702,HMBS
ENST00000630018,ENSG00000281702,HMBS
ENST00000627066,ENSG00000281702,HMBS
ENST00000629519,ENSG00000281702,HMBS
ENST00000628117,ENSG00000281702,HMBS
ENST00000630574,ENSG00000281702,HMBS
ENST00000626469,ENSG00000281702,HMBS
ENST00000631122,ENSG00000281702,HMBS
ENST00000630689,ENSG00000281702,HMBS
ENST00000627143,ENSG00000281702,HMBS
ENST00000629841,ENSG00000281702,HMBS
ENST00000629150,ENSG00000281702,HMBS
ENST00000628160,ENSG00000281702,HMBS
ENST00000625884,ENSG00000281702,HMBS
ENST00000626431,ENSG00000281702,HMBS
ENST00000630812,ENSG00000281702,HMBS
ENST00000628302,ENSG00000281702,HMBS
ENST00000629976,ENSG00000281702,HMBS
ENST00000628945,ENSG00000281702,HMBS
ENST00000627967,ENSG00000281702,HMBS
ENST00000625306,ENSG00000281702,HMBS
ENST00000629844,ENSG00000281702,HMBS
ENST00000626599,ENSG00000281702,HMBS
ENST00000626488,ENSG00000281702,HMBS
ENST00000631372,ENSG00000281500,SLC37A4
ENST00000635927,ENSG00000283094,PTEN
ENST00000634767,ENSG00000283094,PTEN
ENST00000634649,ENSG00000282908,FAT3
ENST00000634625,ENSG00000282908,FAT3
ENST00000634743,ENSG00000282908,FAT3
ENST00000634894,ENSG00000282908,FAT3
ENST00000634756,ENSG00000282908,FAT3
ENST00000634703,ENSG00000282908,FAT3
ENST00000635128,ENSG00000282974,DPP6
ENST00000634875,ENSG00000282974,DPP6
ENST00000634541,ENSG00000282974,DPP6
ENST00000635263,ENSG00000282974,DPP6
ENST00000634466,ENSG00000282974,DPP6
ENST00000634851,ENSG00000282974,DPP6
ENST00000634249,ENSG00000282974,DPP6
ENST00000634779,ENSG00000282974,DPP6
ENST00000634521,ENSG00000282974,DPP6
ENST00000634859,ENSG00000282974,DPP6
ENST00000634822,ENSG00000282974,DPP6
ENST00000634717,ENSG00000282974,DPP6
ENST00000634887,ENSG00000282974,DPP6
ENST00000635139,ENSG00000282974,DPP6
ENST00000635004,ENSG00000282974,DPP6
ENST00000634562,ENSG00000282974,DPP6
ENST00000635354,ENSG00000283115,AC245015.1
ENST00000635147,ENSG00000283115,AC245015.1
ENST00000635787,ENSG00000283115,AC245015.1
ENST00000631853,ENSG00000282243,LRIG1
ENST00000633161,ENSG00000282243,LRIG1
ENST00000632666,ENSG00000282243,LRIG1
ENST00000632591,ENSG00000282243,LRIG1
ENST00000631562,ENSG00000282243,LRIG1
ENST00000631537,ENSG00000282243,LRIG1
