Entrez Gene ID,Gene Symbol,Gene Name,Original Symbol,type
10058,ABCB6,ATP binding cassette subfamily B member 6 (Langereis blood group),ABCB6,membrane
80167,ABHD18,abhydrolase domain containing 18,ABHD18,secreted
43,ACHE,acetylcholinesterase (Cartwright blood group),ACHE,membrane
83440,ADPGK,ADP dependent glucokinase,ADPGK,intracellular
10551,AGR2,"anterior gradient 2, protein disulphide isomerase family member",AGR2,intracellular
118429,ANTXR2,ANTXR cell adhesion molecule 2,ANTXR2,membrane
427,ASAH1,N-acylsphingosine amidohydrolase 1,ASAH1,intracellular
56624,ASAH2,N-acylsphingosine amidohydrolase 2,ASAH2,membrane
2683,B4GALT1,"beta-1,4-galactosyltransferase 1",B4GALT1,intracellular
7917,BAG6,BAG cochaperone 6,BAG6,intracellular
85316,BAGE5,BAGE family member 5,BAGE5,secreted
696,BTN1A1,butyrophilin subfamily 1 member A1,BTN1A1,membrane
715,C1R,complement C1r,C1R,secreted
79640,C22orf46,CTA-216E10.6,C22orf46,pseudogene
100293534,C4B_2,"complement component 4B (Chido blood group), copy 2",C4B_2,secreted
153571,C5orf38,chromosome 5 open reading frame 38,C5orf38,RNA
203228,C9orf72,C9orf72-SMCR8 complex subunit,C9orf72,intracellular
811,CALR,calreticulin,CALR,intracellular
813,CALU,calumenin,CALU,intracellular
837,CASP4,caspase 4,CASP4,intracellular
414062,CCL3L3,C-C motif chemokine ligand 3 like 3,CCL3L3,secreted
283316,CD163L1,CD163 molecule like 1,CD163L1,receptor
8763,CD164,CD164 molecule,CD164,membrane
57126,CD177,CD177 molecule,CD177,receptor
131450,CD200R1,CD200 receptor 1,CD200R1,receptor
30835,CD209,CD209 molecule,CD209,receptor
966,CD59,CD59 molecule (CD59 blood group),CD59,membrane
967,CD63,CD63 molecule,CD63,membrane
925,CD8A,CD8a molecule,CD8A,receptor
926,CD8B,CD8b molecule,CD8B,receptor
928,CD9,CD9 molecule,CD9,receptor
64866,CDCP1,CUB domain containing protein 1,CDCP1,receptor
634,CEACAM1,CEA cell adhesion molecule 1,CEACAM1,membrane
1113,CHGA,chromogranin A,CHGA,secreted
1114,CHGB,chromogranin B,CHGB,secreted
27159,CHIA,chitinase acidic,CHIA,secreted
66005,CHID1,chitinase domain containing 1,CHID1,secreted
83539,CHST9,carbohydrate sulfotransferase 9,CHST9,golgi
9635,CLCA2,chloride channel accessory 2,CLCA2,membrane
22802,CLCA4,chloride channel accessory 4,CLCA4,membrane
10332,CLEC4M,C-type lectin domain family 4 member M,CLEC4M,receptor
245812,CNPY4,canopy FGF signaling regulator 4,CNPY4,intracellular
152330,CNTN4,contactin 4,CNTN4,membrane
79937,CNTNAP3,contactin associated protein family member 3,CNTNAP3,membrane
10699,CORIN,"corin, serine peptidase",CORIN,membrane
1363,CPE,carboxypeptidase E,CPE,membrane
286204,CRB2,crumbs cell polarity complex component 2,CRB2,membrane
51232,CRIM1,cysteine rich transmembrane BMP regulator 1,CRIM1,membrane
64109,CRLF2,cytokine receptor like factor 2,CRLF2,receptor
1410,CRYAB,crystallin alpha B,CRYAB,intracellular
1441,CSF3R,colony stimulating factor 3 receptor,CSF3R,receptor
1513,CTSK,cathepsin K,CTSK,secreted
1514,CTSL,cathepsin L,CTSL,secreted
1520,CTSS,cathepsin S,CTSS,secreted
1605,DAG1,dystroglycan 1,DAG1,membrane
1621,DBH,dopamine beta-hydroxylase,DBH,secreted
780,DDR1,discoidin domain receptor tyrosine kinase 1,DDR1,receptor
10522,DEAF1,DEAF1 transcription factor,DEAF1,intracellular
245915,DEFB112,defensin beta 112,DEFB112,secreted
1826,DSCAM,DS cell adhesion molecule,DSCAM,membrane
51705,EMCN,endomucin,EMCN,membrane
55068,ENOX1,ecto-NOX disulfide-thiol exchanger 1,ENOX1,membrane
10495,ENOX2,ecto-NOX disulfide-thiol exchanger 2,ENOX2,intracellular
59084,ENPP5,ectonucleotide pyrophosphatase/phosphodiesterase family member 5,ENPP5,membrane
284656,EPHA10,EPH receptor A10,EPHA10,receptor
2042,EPHA3,EPH receptor A3,EPHA3,receptor
2051,EPHB6,EPH receptor B6,EPHB6,receptor
